"lemma","word","kjv_def","strongs_def","derivation"
"G208","ἀκυρόω","disannul, make of none effect"," to invalidate","from G1 (Α) (as a negative particle) and G2964 (κυρόω);"
"G5544","χρηστότης","gentleness, good(-ness), kindness"," usefulness, i.e. morally, excellence (in character or demeanor)","from G5543 (χρηστός);"
"G2311","θεμελιόω","(lay the) found(- ation), ground, settle"," to lay a basis for, i.e. (literally) erect, or (figuratively) consolidate","from G2310 (θεμέλιος);"
"G1837","ἐξηχέομαι","sound forth"," to ""echo"" forth, i.e. resound (be generally reported)","middle voice from G1537 (ἐκ) and G2278 (ἠχέω);"
"G1367","δισχίλιοι","two thousand"," two thousand","from G1364 (δίς) and G5507 (χίλιοι);"
"G3551","νόμος","law"," law (through the idea of prescriptive usage), genitive case (regulation), specially, (of Moses (including the volume); also of the Gospel), or figuratively (a principle)","from a primary (to parcel out, especially food or grazing to animals);"
"G2522","καθημερινός","daily"," quotidian","from G2596 (κατά) and G2250 (ἡμέρα);"
"G1754","ἐνεργέω","do, (be) effectual (fervent), be mighty in, shew forth self, work (effectually in)"," to be active, efficient","from G1756 (ἐνεργής);"
"G506","ἀνυπότακτος","disobedient, that is not put under, unruly"," unsubdued, i.e. insubordinate (in fact or temper)","from G1 (Α) (as a negative particle) and a presumed derivative of G5293 (ὑποτάσσω);"
"G496","ἀντιπίπτω","resist"," to oppose","from G473 (ἀντί) and G4098 (πίπτω) (including its alternate);"
"G481","ἀντικρύ","over against"," opposite","prolonged from G473 (ἀντί);"
"G1499","εἰ καί","if (that), though"," if also (or even)","from G1487 (εἰ) and G2532 (καί);"
"G5212","ὑμέτερος","your (own)"," yours, i.e. pertaining to you","from G5210 (ὑμεῖς);"
"G4001","πεντακόσιοι","five hundred"," five hundred","from G4002 (πέντε) and G1540 (ἑκατόν);"
"G4208","ποῤῥωτέρω","farther"," further, i.e. a greater distance","adverb comparative of G4206 (πόῤῥω);"
"G1302","διατί","wherefore, why"," through what cause ?, i.e. why?","from G1223 (διά) and G5101 (τίς);"
"G4781","συγκάμπτω","bow down"," to bend together, i.e. (figuratively) to afflict","from G4862 (σύν) and G2578 (κάμπτω);"
"G2351","θόρυβος","tumult, uproar"," a disturbance","from the base of G2360 (θροέω);"
"G269","ἄμαχος","not a brawler"," peaceable","from G1 (Α) (as a negative particle) and G3163 (μάχη);"
"G5467","χαλεπός","fierce, perilous"," difficult, i.e. dangerous, or (by implication) furious","perhaps from G5465 (χαλάω) through the idea of reducing the strength;"
"G889","ἀχρειόω","become unprofitable"," to render useless, i.e. spoil","from G888 (ἀχρεῖος);"
"G1349","δίκη","judgment, punish, vengeance"," right (as self-evident), i.e. justice (the principle, a decision, or its execution)","probably from G1166 (δεικνύω);"
"G665","ἀποτρέπω","turn away"," to deflect, i.e. (reflexively) avoid","from G575 (ἀπό) and the base of G5157 (τροπή);"
"G5525","χορός","dancing"," a ring, i.e. round dance (""choir""","of uncertain derivation;"
"G1980","ἐπισκέπτομαι","look out, visit"," to inspect, i.e. (by implication) to select; by extension, to go to see, relieve","middle voice from G1909 (ἐπί) and the base of G4649 (σκοπός);"
"G822","ἀτμίς","vapour"," mist","from the same as G109 (ἀήρ);"
"G3946","παρόμοιος","like"," alike nearly, i.e. similar","from G3844 (παρά) and G3664 (ὅμοιος);"
"G3452","μυελός","marrow"," the marrow","perhaps a primary word;"
"G830","αὐθαίρετος","of own accord, willing of self"," self-chosen, i.e. (by implication) voluntary","from G846 (αὐτός) and the same as G140 (αἱρετίζω);"
"G1121","γράμμα","bill, learning, letter, scripture, writing, written"," a writing, i.e. a letter, note, epistle, book, etc.; plural learning","from G1125 (γράφω);"
"G925","βαρύνω","overcharge"," to burden (figuratively)","from G926 (βαρύς);"
"G2120","εὐκαιρία","opportunity"," a favorable occasion","from G2121 (εὔκαιρος);"
